Dragma            Chapter 35                                                
drov              Chapter 48                                                
Dulv Kinskv       Chapters 50 and 63                                        
Dutow             Chapter 71                                                
Edd               Chapter 73                                                
Edgar Rokvan      Chapter 63                                                
Edward            Chapters 1,48, 34, 12, 108, 66 and 146                    
ehudt             Chapter 50                                                
Ela782            Chapter 25                                                
elimad            Chapter 53                                                
elvis.dukaj       Chapter 141                                               
Emil Rowland      Chapter 48                                                
emlai             Chapter 34                                                
Emmanuel Mathi    Chapters 69 and 98                                        
enzom83           Chapter 37                                                
Error             Chapters 49 and 117                                       
Evgeniy           Chapter 53                                                
EvgenivZh         Chapter 10                                                
Falias            Chapter 50                                                
Fantastic Mr Fox  Chapters 1, 25, 48, 35, 50, 51, 75, 68 and 138            
fbrereto          Chapters 10 and 48                                        
FedeWar           Chapters 77 and 31                                        
Florian           Chapters 1 and 130                                        
Fox               Chapters 50 and 75                                        
foxcub            Chapters 34, 50 and 51                                    
Gabriel           Chapter 79                                                
Gal Dreiman       Chapter 10                                                
Galik             Chapters 25, 13, 50, 51, 113 and 81                       
Gaurav Kumar Garg Chapter 10                                                
Gaurav Sehgal     Chapter 76                                                
ggri              Chapter 104                                               
GIRISH kunival    Chapter 104                                               
granmirupa        Chapter 50                                                
Greg              Chapter 77                                                
Guillaume Pascal  Chapters 64 and 63                                        
Guillaume Racicot Chapter 106                                               
Ha.               Chapter 65                                                
hello             Chapter 82                                                
Henkersmann       Chapter 29                                                
Hindrik Stegenga  Chapter 31                                                
holmicz           Chapter 12                                                
Holt              Chapters 77, 17, 48 and 50                                
honk              Chapters 1, 77, 10, 25, 48, 13, 34, 73, 12, 51, 82 and 79 
Humam Helfawi     Chapter 1                                                 
Hurkyl            Chapters 10, 13 and 50                                    
hvoslee           Chapter 85                                                
Ian Ringrose      Chapter 75                                                
Igor Oks          Chapter 108                                               
Ilvas Mimouni     Chapter 1                                                 
immerhart         Chapters 50 and 139                                       
In silico         Chapter 101                                               
Ivan Kush         Chapter 64                                                
leremv Rov        Chapter 45                                                
lack              Chapter 48                                                
lahid             Chapters 48, 72, 71 and 138                               
